Date,Apple,Miscrosoft,ExxonMobil,Johnson&Johnson,JPMorgan,Amazon,GeneralElectric,Facebook,AT&T,S&P500
2017-04-06,33.75678634643555,44.91400146484375,214.73460388183594,107.49559020996094,73.96961212158203,141.1699981689453,60.91404342651367,19.62851905822754,62.0475959777832,2357.489990234375
2017-04-07,33.68159484863281,44.74399948120117,215.1651153564453,107.38383483886719,73.71302795410156,140.77999877929688,60.86770248413086,19.623682022094727,61.860740661621094,2355.5400390625
2017-04-10,33.64165496826172,45.35200119018555,215.30860900878906,106.88523864746094,73.45641326904297,141.0399932861328,60.72871780395508,19.52215576171875,62.137306213378906,2357.159912109375
2017-04-11,33.27979278564453,45.11800003051758,215.52378845214844,106.78211212158203,73.328125,139.9199981689453,60.68235778808594,19.488313674926758,61.92052459716797,2353.780029296875
2017-04-12,33.319725036621094,44.811500549316406,213.58673095703125,107.79644012451172,73.04586029052734,139.5800018310547,60.4506950378418,19.609176635742188,62.0177116394043,2344.929931640625
2017-04-13,33.14349365234375,44.23350143432617,212.0800323486328,107.4439926147461,72.19051361083984,139.38999938964844,60.19119644165039,19.47381019592285,61.060943603515625,2328.949951171875
2017-04-17,33.3267936706543,45.0994987487793,212.65399169921875,108.07151794433594,73.43932342529297,141.4199981689453,60.68235778808594,19.483476638793945,60.97874069213867,2349.010009765625
2017-04-18,33.178741455078125,45.18899917602539,214.0889129638672,104.71900177001953,72.840576171875,140.9600067138672,60.598960876464844,19.459306716918945,60.582557678222656,2342.18994140625
2017-04-19,33.05656051635742,44.959999084472656,215.2368621826172,104.33219146728516,72.24185180664062,142.27000427246094,60.27459716796875,19.459306716918945,60.16397476196289,2338.169921875
2017-04-20,33.47011947631836,45.10300064086914,217.1739959716797,104.76197814941406,73.17415618896484,143.8000030517578,60.700904846191406,19.512483596801758,60.55267333984375,2355.840087890625
2017-04-21,33.430179595947266,44.92649841308594,212.00827026367188,104.66741180419922,72.29314422607422,143.67999267578125,61.53496551513672,19.304597854614258,60.31348419189453,2348.68994140625
2017-04-24,33.75210189819336,45.37049865722656,212.00827026367188,105.63878631591797,74.84207153320312,145.47000122070312,62.5821647644043,19.34811019897461,60.627418518066406,2374.14990234375
2017-04-25,33.96121597290039,45.38100051879883,211.29083251953125,106.1030044555664,75.49214172363281,146.49000549316406,62.94358825683594,19.309431076049805,61.0908317565918,2388.610107421875
2017-04-26,33.76148223876953,45.464500427246094,209.9276580810547,106.17176818847656,75.63753509521484,146.55999755859375,62.860191345214844,19.55116081237793,60.84420394897461,2387.449951171875
2017-04-27,33.7873420715332,45.91899871826172,208.63624572753906,106.36946105957031,74.93614959716797,147.6999969482422,63.267940521240234,19.29492950439453,60.73952865600586,2388.77001953125
2017-04-28,33.75444412231445,46.2495002746582,207.99053955078125,106.13738250732422,74.41439819335938,150.25,63.444034576416016,19.159557342529297,61.031036376953125,2384.199951171875
2017-05-01,34.44292449951172,47.4114990234375,207.6318359375,106.02564239501953,74.46571350097656,152.4600067138672,64.32441711425781,18.9033260345459,61.3375244140625,2388.330078125
2017-05-02,34.66145324707031,47.34700012207031,207.99053955078125,106.3350830078125,73.98672485351562,152.77999877929688,64.22249603271484,18.830808639526367,61.330047607421875,2391.169921875
2017-05-03,34.55571365356445,47.05149841308594,209.71243286132812,106.01703643798828,74.41439819335938,151.8000030517578,64.01860809326172,18.564903259277344,61.815887451171875,2388.1298828125
2017-05-04,34.431175231933594,46.87649917602539,209.4971923828125,106.55000305175781,74.49992370605469,150.85000610351562,63.76837921142578,18.376354217529297,61.02357482910156,2389.52001953125
2017-05-05,35.002166748046875,46.70750045776367,209.64068603515625,106.17176818847656,74.41439819335938,150.24000549316406,63.944480895996094,18.642255783081055,61.3076171875,2399.2900390625
2017-05-08,35.953819274902344,47.45199966430664,208.56451416015625,105.9482650756836,74.49992370605469,151.05999755859375,63.88883972167969,18.647090911865234,61.957923889160156,2399.3798828125
2017-05-09,36.184104919433594,47.64099884033203,207.56005859375,105.91388702392578,74.20055389404297,150.47999572753906,63.98151779174805,18.477880477905273,61.52437973022461,2396.919921875
2017-05-10,36.012569427490234,47.4474983215332,205.909912109375,105.57002258300781,74.78218078613281,150.2899932861328,64.23174285888672,18.589073181152344,61.803558349609375,2399.6298828125
2017-05-11,36.324005126953125,47.38100051879883,207.1295623779297,105.9052963256836,74.5512466430664,150.0399932861328,63.444034576416016,18.584238052368164,62.33172607421875,2394.43994140625
2017-05-12,36.831302642822266,48.067501068115234,202.82481384277344,106.28351593017578,74.34598541259766,150.3300018310547,63.36989212036133,18.608415603637695,62.286460876464844,2390.89990234375
2017-05-15,36.73691940307617,47.89849853515625,202.17916870117188,109.16324615478516,74.70520782470703,150.19000244140625,63.41623306274414,18.65675926208496,62.4750862121582,2402.320068359375
2017-05-16,36.682655334472656,48.30350112915039,201.1747283935547,109.833740234375,74.93614959716797,149.77999877929688,64.69313049316406,18.463376998901367,62.286460876464844,2400.669921875
2017-05-17,35.451019287109375,47.237998962402344,196.65476989746094,108.88815307617188,72.0793228149414,144.85000610351562,62.894283294677734,18.110450744628906,61.86391067504883,2357.030029296875
2017-05-18,35.9913330078125,47.92449951171875,197.15695190429688,109.14604949951172,71.81417083740234,147.66000366210938,63.10865020751953,18.34734535217285,61.682838439941406,2365.719970703125
2017-05-19,36.11402893066406,47.992000579833984,201.24644470214844,109.17182159423828,72.51554107666016,148.05999755859375,63.09002685546875,18.487550735473633,61.81863784790039,2381.72998046875
2017-05-22,36.33345413208008,48.53350067138672,202.17916870117188,109.39534759521484,72.44712829589844,148.24000549316406,63.79834747314453,18.49238395690918,62.09027099609375,2394.02001953125
2017-05-23,36.28861999511719,48.57699966430664,202.8966064453125,109.61884307861328,73.3537826538086,148.07000732421875,64.01273345947266,18.521390914916992,62.30908966064453,2398.419921875
2017-05-24,36.180084228515625,49.01750183105469,199.66802978515625,109.6102523803711,73.31101989746094,150.0399932861328,64.09660339355469,18.444034576416016,62.09027099609375,2404.389892578125
2017-05-25,36.30514907836914,49.66899871826172,197.22866821289062,110.35443878173828,73.0030746459961,151.9600067138672,64.88886260986328,18.48271369934082,61.682838439941406,2415.070068359375
2017-05-26,36.243797302246094,49.78900146484375,196.94171142578125,109.82656860351562,73.01164245605469,152.1300048828125,65.20574188232422,18.42953109741211,61.53192901611328,2415.820068359375
2017-05-30,36.257938385009766,49.834999084472656,196.29600524902344,109.9909896850586,71.76284790039062,152.3800048828125,65.62516784667969,18.637420654296875,61.1923828125,2412.909912109375
2017-05-31,36.043243408203125,49.73099899291992,196.4394989013672,110.97745513916016,70.26602935791016,151.4600067138672,65.09390258789062,18.62775421142578,60.73966979980469,2411.800048828125
2017-06-01,36.142337799072266,49.79750061035156,198.87884521484375,111.43609619140625,71.04438018798828,151.52999877929688,65.33622741699219,18.792133331298828,60.89056396484375,2430.06005859375
2017-06-02,36.67793273925781,50.33649826049805,200.02676391601562,112.56098175048828,70.68512725830078,153.61000061035156,66.88343048095703,18.792133331298828,59.98513412475586,2439.070068359375
2017-06-05,36.31929397583008,50.56700134277344,200.74424743652344,112.80329132080078,70.81343078613281,153.6300048828125,67.36808013916016,18.763120651245117,60.45294189453125,2436.10009765625
2017-06-06,36.44199752807617,50.150001525878906,200.38548278808594,113.21000671386719,70.9588394165039,152.80999755859375,67.59178924560547,18.72444725036621,61.27538299560547,2429.330078125
2017-06-07,36.65904998779297,50.503501892089844,198.59190368652344,113.1407699584961,71.77140808105469,153.1199951171875,67.47061920166016,18.73894500732422,61.049034118652344,2433.139892578125
2017-06-08,36.56940841674805,50.51350021362305,197.94615173339844,112.96769714355469,72.66095733642578,154.7100067138672,67.06051635742188,18.613252639770508,60.83020782470703,2433.7900390625
2017-06-09,35.15135192871094,48.91550064086914,200.45724487304688,113.81571960449219,74.38018798828125,149.60000610351562,65.54127502441406,18.75345230102539,61.96957015991211,2431.77001953125
2017-06-12,34.31138229370117,48.24549865722656,207.6318359375,114.06668090820312,74.39730072021484,148.44000244140625,65.0379638671875,18.888818740844727,62.57318878173828,2429.389892578125
2017-06-13,34.58745193481445,49.03950119018555,204.1162872314453,114.23971557617188,74.64535522460938,150.67999267578125,65.84886932373047,18.70026969909668,62.59579849243164,2440.35009765625
2017-06-14,34.25004196166992,48.82350158691406,205.8381805419922,114.88873291015625,74.49137115478516,150.25,65.49468994140625,18.719614028930664,61.92427444458008,2437.919921875
2017-06-15,34.044769287109375,48.208499908447266,209.3833465576172,115.12235260009766,74.04659271240234,149.8000030517578,65.14981079101562,18.777624130249023,62.06764602661133,2432.4599609375
2017-06-16,33.56816482543945,49.385501861572266,209.81748962402344,116.25593566894531,73.71302795410156,150.63999938964844,65.24303436279297,18.835636138916016,62.99570846557617,2433.14990234375
2017-06-19,34.52846145629883,49.75849914550781,208.3704376220703,116.01363372802734,75.3296127319336,152.8699951171875,66.05390167236328,18.81147003173828,62.444915771484375,2453.4599609375
2017-06-20,34.214656829833984,49.62950134277344,203.52291870117188,116.14344024658203,74.85916900634766,152.25,65.15914154052734,18.690603256225586,62.10536575317383,2437.030029296875
2017-06-21,34.41756820678711,50.11149978637695,200.99066162109375,116.74048614501953,74.51705932617188,153.91000366210938,65.49468994140625,18.444034576416016,61.44892883300781,2435.610107421875
2017-06-22,34.36094284057617,50.064998626708984,199.32659912109375,117.7269515991211,74.43148803710938,153.39999389648438,65.48535919189453,18.419864654541016,61.17729949951172,2434.5
2017-06-23,34.51430130004883,50.1870002746582,199.4712677001953,118.0558090209961,74.29466247558594,155.07000732421875,66.37078094482422,18.34734535217285,61.57719421386719,2438.300048828125
