Date,AAPL,ABT,AIG,AMAT,ARNC,BAC,BSX,C,CMCSA,CSCO,DAL,EBAY,F,FB,FCX,FITB,FOXA,FTR,GE,GILD,GLW,GM,HAL,HBAN,HPQ,INTC,JPM,KEY,KMI,KO,MRK,MRO,MSFT,MU,NFLX,NVDA,ORCL,PFE,QCOM,RF,SBUX,T,V,VZ,WFC,XOM,XRX,YAHOY
11/8/2016,107.2257309,38.0498848,56.48575974,28.60648918,16.99485779,16.37269402,22.25,47.79244995,29.83562088,28.82396698,42.55185318,28.03000069,10.1231823,124.2200012,11.92469883,20.50494385,26.51098824,43.45154572,27.05745888,69.28617096,22.01232529,28.66414833,45.13003922,9.522711754,14.3680563,32.74812698,66.01480865,13.6491127,18.87041855,39.76197052,56.53049469,13.852911,57.75259781,17.40999985,124.3399963,70.58092499,37.75346375,27.62755775,62.02623749,10.34492397,51.89701843,32.71671677,81.58101654,42.9356842,42.64071655,78.04488373,22.92973328,7.695239544
11/9/2016,107.0519562,38.27915573,57.84331512,28.23812485,17.1119957,17.30690193,21.84000015,49.40117645,30.27943611,29.15869522,43.23987198,28.29000092,10.21136284,123.1800003,12.89129829,21.7361908,26.8730793,43.04924011,27.25059891,73.43173218,22.05984688,27.96854591,45.80046844,10.13588238,14.64074707,32.7575531,69.05019379,14.42581463,19.71177673,39.19633102,59.95913696,14.46535492,57.4660759,17.20000076,122.1900024,69.39069366,38.15868759,29.57990456,61.67190552,10.96238995,51.85901642,33.11473465,81.93537903,43.12490845,44.93474579,78.90483856,23.49803162,7.459370136
11/10/2016,104.0686264,38.79502487,60.0078125,27.31721115,18.01005745,18.06775093,21.87999916,51.33546829,31.06684494,28.82396698,43.90876389,28.15999985,10.52881432,120.8000031,13.61131763,22.48440361,26.57949257,42.37866974,27.96795845,72.84217072,22.04084015,29.56752968,46.74866486,10.77692413,14.56552124,32.52188873,72.25524902,14.95624638,19.90593338,37.96303177,60.68783951,14.71811008,56.06214142,16.98999977,115.4199982,67.21850586,38.18763351,30.84156227,60.24549103,11.57035732,50.8993721,32.34523392,80.58685303,42.07066345,48.34299469,79.63671875,23.6709938,7.498682022
11/11/2016,104.6865311,38.34602356,60.11223602,27.93761635,18.41028023,18.3181572,21.5,50.58856583,31.71586418,29.15869522,44.319664,28.63999939,10.8286314,119.0199966,13.74940395,23.1757946,26.55991745,42.64689255,28.24386787,71.51335144,22.24043465,30.73288345,45.98244476,10.86982536,14.87582779,32.62558746,72.29296875,15.46773148,19.09231377,38.04648972,59.7442627,14.47507668,56.3677597,17.67000008,114.7799988,87.25414276,38.06220245,30.01273918,60.76335907,11.8268404,51.24141312,32.29216385,80.59670258,42.07066345,48.43663406,78.37422943,23.47332382,7.351263523
11/14/2016,102.0604553,37.44803619,61.18498611,28.10241318,18.63479424,19.33903694,20.79000092,52.36006927,32.09763336,29.16799545,45.36124802,27.88999939,10.63463306,115.0800018,13.72967815,23.93348503,26.93179703,43.45154572,28.05992699,71.82217407,22.3259716,30.06438255,46.10695648,11.11137867,15.13911724,32.50303268,74.95128632,15.90344715,19.38817406,38.17631531,59.35187912,14.56286335,55.5082016,17.70999908,113.3799973,82.95936584,37.91748047,29.81934547,59.90024185,12.60579967,51.51696014,31.95606995,77.15155029,41.61112213,49.83176804,78.0174408,23.52274132,7.07608223
11/15/2016,103.412117,38.03078079,61.32739258,28.70343208,19.43524361,19.4160881,21.13999939,53.09740829,31.96401405,29.47482872,45.53325653,28.48999977,10.61699677,117.1999969,13.79871941,24.31232834,26.8632946,44.2562027,28.28065872,71.44783783,22.6079731,30.19989204,47.65854645,11.11137867,14.92284298,32.90837479,74.80988312,16.187603,20.18330574,38.42668152,59.46398926,15.31392765,56.60432816,18.10000038,113.5899963,85.48861694,37.79205322,29.68120766,60.66341019,12.85278416,52.10877991,32.52213669,77.33856964,42.68338394,49.24188614,79.42630005,23.6957016,7.13504982
11/16/2016,106.1926804,38.16452026,60.85271835,29.10087776,19.14239693,19.02121735,21.36000061,52.31219101,32.19784546,29.35395432,45.27524567,28.32999992,10.58172321,116.3399963,13.61131763,23.58305359,26.95137024,45.99963379,28.27145767,71.12033081,22.62709427,30.01921082,46.70077896,11.08350754,14.85702133,32.84239197,72.96225739,15.84661102,19.68404007,38.25976563,58.51107788,15.17737007,57.3543129,18.23999977,115.1900024,90.88433838,38.30340958,29.43255615,60.23640823,12.24481869,52.92014313,32.85823059,78.99079895,43.18798828,48.3898201,78.44741821,23.59686661,7.213673115
11/17/2016,106.1540604,38.58485413,60.97613907,29.78913879,19.03502083,19.33903694,21.61000061,53.09740829,32.68461227,27.94065094,46.35504532,28.87000084,10.46708775,117.7900009,13.61131763,24.08502197,27.32324791,45.06086349,28.31744766,70.72728729,22.77048683,30.19085503,46.54753113,11.36222172,14.94165039,33.01207733,73.54669952,16.10235596,19.76725006,38.12994766,58.57646942,15.07982826,58.30621338,19.18000031,115.0299988,91.63816833,38.8340683,29.2207489,60.5725708,12.51080418,53.31150818,33.08819962,79.96734619,43.10688782,49.14824677,77.97171021,23.6709938,7.331607819
11/18/2016,106.2602692,38.05943298,60.67234039,29.79883003,19.43524361,19.26199532,21.34000015,53.10697937,32.61302185,28.06152534,46.72771835,28.69000053,10.37008762,117.0199966,13.54227448,24.32179832,27.22538376,45.86552048,28.20708466,69.82894135,22.78004646,29.81144333,47.22755051,11.61306381,14.92284298,32.94608307,73.25448608,16.11182785,20.03537178,37.935215,57.80105591,15.23589516,58.02737045,19.20999908,115.2099991,92.6002655,38.45778275,28.99051857,61.15403366,12.59629917,53.23514938,33.22087479,79.72074127,43.31413269,49.45724106,78.0174408,23.32507324,7.321779728
11/21/2016,107.8726196,37.98300934,60.6818428,30.39015579,19.69880486,19.57981873,21.45999908,53.18358994,32.54621887,27.94065094,46.45059967,29,10.3965435,121.7699966,14.31161022,24.48280907,27.20581245,47.07251358,28.39101791,70.16580963,22.81828308,29.8204689,47.98418427,11.55731964,15.04508495,32.97436142,73.57499695,16.27285194,20.36821747,38.35250473,58.20277405,16.07474518,58.51773834,19.48999977,117.9599991,92.22335815,38.48672485,29.07339859,60.96324539,12.45380592,53.5501442,33.38007736,80.5789032,43.53039551,48.80181122,79.12441254,23.52274132,7.223500729
11/22/2016,107.9401932,36.39720535,60.7577858,30.79859924,19.41571999,19.55092239,20.84000015,53.71982574,32.93753052,27.79187965,46.72771835,29.05999947,10.48472404,121.4700012,14.91327,24.75746918,27.66576767,48.14538574,28.67612076,69.67920685,22.94255257,30.54317474,47.73516846,11.6316433,14.99806881,33.44569397,74.02745819,16.27285194,20.23877716,38.36176682,57.6422348,16.14302635,58.76773071,19.73999977,118.0400009,92.88790894,38.67969131,28.85238266,62.06257248,12.49180412,54.52379227,34.09649658,78.8428421,44.593647,48.89543533,79.2982254,23.00386047,7.203845024
11/23/2016,107.3898697,37.23787689,61.07107162,31.00282097,19.79642105,19.80133057,20.97999954,54.28479004,32.90890121,27.62451553,47.02394867,28.89999962,10.49354076,120.8399963,15.98836613,24.89953995,27.79298592,48.54771423,28.82328033,70.465271,23.12418175,30.58834076,47.38079071,11.71525669,13.98252583,33.18175507,74.33853912,16.59489632,20.15556526,38.12994766,57.58617783,16.36737061,58.0754509,19.90999985,117.6900024,93.34485626,38.6893425,28.93526268,61.89903641,12.63429642,54.97242355,34.25570297,78.4877243,45.2604332,48.8392601,79.51779175,22.90502548,7.18418932
11/25/2016,107.9305344,37.40982819,61.17549515,31.00282097,20.04045868,20.09025955,21.14999962,54.37097168,33.00434875,27.97784424,47.05261612,28.95000076,10.61699677,120.3799973,15.78123856,24.75746918,27.75384331,49.48648071,28.91524696,70.59628296,23.21977806,30.94065857,47.41910553,11.66880608,14.27402401,33.4079895,74.31027985,16.49495506,20.16481209,38.51013565,58.11869812,15.87966537,58.20043564,20.12999916,117.4100037,93.53358459,38.85336304,29.18391037,62.04440689,12.69129276,54.81969452,34.68025208,79.04011536,45.6568985,49.26996994,79.70076752,23.17681885,7.233328819
